City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
196,port hueneme,34.1478,-119.1951,16.26,91,40,1.54,US,1670122988
197,labuhan,-6.8844,112.2051,29.22,69,100,1.57,ID,1670122988
198,berbera,10.4396,45.0143,23.8,74,19,2.89,SO,1670122988
199,kaspiyskiy,45.3929,47.3707,-3.97,69,82,7.97,RU,1670122988
200,sai buri,6.7013,101.6168,25.54,83,100,3.98,TH,1670122989
201,henties bay,-22.116,14.2845,13.97,91,1,1.91,NA,1670122989
202,tongchuan,35.0806,109.0897,2.47,27,100,0.97,CN,1670122989
203,iqaluit,63.7506,-68.5145,-9.61,72,100,3.58,CA,1670122990
204,birin,26.8865,88.0718,14.4,56,0,1.27,NP,1670122990
205,kahului,20.8947,-156.47,26.65,82,54,4.02,US,1670122990
206,kilindoni,-7.9139,39.6668,26.61,76,6,5.33,TZ,1670122990
207,wanning,18.8003,110.3967,23.83,86,90,5.72,CN,1670122991
208,kruisfontein,-34.0033,24.7314,16.05,83,100,1.37,ZA,1670122991
209,ortigueira,-24.2083,-50.9494,18.38,99,100,0.87,BR,1670122991
210,wewak,-3.5534,143.6268,27.7,75,100,1.34,PG,1670122991
211,neuquen,-38.9516,-68.0591,20.86,22,100,9.64,AR,1670122845
212,kysyl-syr,63.8986,122.7617,-25.6,98,100,2.29,RU,1670122992
213,imbituba,-28.24,-48.6703,22.62,98,100,3.28,BR,1670122992
214,statesboro,32.4488,-81.7832,19.15,82,100,0.0,US,1670122926
215,thinadhoo,0.5333,72.9333,27.58,70,100,4.01,MV,1670122992
216,san isidro,-12.1167,-77.05,19.45,80,22,3.08,PE,1670122993
217,saskylakh,71.9167,114.0833,-10.76,92,100,10.84,RU,1670122993
218,naryan-mar,67.6713,53.087,-13.54,96,29,3.11,RU,1670122993
219,harper,4.375,-7.7169,24.85,86,100,3.15,LR,1670122994
220,coahuayana,18.7333,-103.6833,24.16,88,68,0.94,MX,1670122994
221,longyearbyen,78.2186,15.6401,-2.09,80,75,4.12,SJ,1670122994
222,xichang,27.8964,102.2634,12.47,55,0,1.27,CN,1670122994
223,shushtar,32.0455,48.8567,16.06,61,100,1.33,IR,1670122995
224,ostrovnoy,68.0531,39.5131,-7.5,88,30,4.35,RU,1670122995
225,pevek,69.7008,170.3133,-11.65,77,100,1.58,RU,1670122995
226,tasiilaq,65.6145,-37.6368,1.09,96,100,4.48,GL,1670122995
227,gimli,50.6336,-96.9907,-14.78,84,97,5.34,CA,1670122996
228,tura,25.5198,90.2201,21.28,64,0,0.63,IN,1670122996
229,moscow,55.7522,37.6156,-8.76,92,95,2.61,RU,1670122724
230,nome,64.5011,-165.4064,0.09,99,100,6.83,US,1670122996
231,thompson,55.7435,-97.8558,-30.94,100,74,1.51,CA,1670122911
232,hithadhoo,-0.6,73.0833,28.2,70,100,4.92,MV,1670122997
233,karaidel,55.8337,56.9069,-16.66,95,100,1.64,RU,1670122997
234,comodoro rivadavia,-45.8667,-67.5,15.28,38,3,11.55,AR,1670122838
235,tessalit,20.1986,1.0114,20.71,19,5,1.78,ML,1670122997
236,shingu,33.7333,135.9833,12.82,73,100,1.01,JP,1670122998
237,okhotsk,59.3833,143.3,-26.78,90,100,5.2,RU,1670122998
238,miastko,54.0028,16.9826,-0.64,96,100,3.23,PL,1670122998
239,akdepe,42.0551,59.3788,-6.99,76,87,3.22,TM,1670122998
240,arraial do cabo,-22.9661,-42.0278,22.67,91,98,11.96,BR,1670122999
241,kutno,52.2306,19.3641,2.28,92,100,4.69,PL,1670122999
242,east london,-33.0153,27.9116,17.97,83,100,2.9,ZA,1670122883
243,moron,-34.6534,-58.6198,22.76,72,0,2.69,AR,1670122999
244,metro,-5.1131,105.3067,29.51,62,100,2.15,ID,1670122999
245,sainte-rose,16.3324,-61.6979,22.02,88,62,0.51,GP,1670123000
246,sorland,67.667,12.6934,2.92,75,100,7.98,NO,1670123000
247,wynyard,-41.0,145.7167,21.66,66,99,2.71,AU,1670123000
248,sao filipe,14.8961,-24.4956,21.95,63,99,2.02,CV,1670123000
249,chuy,-33.6971,-53.4616,18.05,96,87,0.99,UY,1670123001
250,herat,34.5,62.0,2.29,39,100,3.88,AF,1670123001
251,paamiut,61.994,-49.6678,-7.66,68,12,5.99,GL,1670123001
252,coihaique,-45.5752,-72.0662,4.17,97,36,3.21,CL,1670123001
253,olinda,-8.0089,-34.8553,26.85,69,40,3.09,BR,1670123002
254,puerto carreno,6.189,-67.4859,24.27,82,52,2.43,CO,1670123002
255,ilulissat,69.2167,-51.1,-3.99,74,40,4.12,GL,1670123002
256,bengkulu,-3.8004,102.2655,27.64,70,33,1.46,ID,1670123003
257,lavrentiya,65.5833,-171.0,-0.04,99,100,4.28,RU,1670123003
258,porbandar,21.6422,69.6093,22.64,38,2,4.18,IN,1670123003
259,vuktyl,63.8567,57.3094,-16.8,98,100,0.92,RU,1670123003
260,portales,34.1862,-103.3344,4.86,78,100,1.24,US,1670123004
261,petatlan,17.5167,-101.2667,26.89,82,0,1.68,MX,1670123004
262,wahiawa,21.5028,-158.0236,24.87,75,8,3.41,US,1670123004
263,ossora,59.2353,163.0719,-13.86,81,2,3.56,RU,1670123004
264,kamaishi,39.2667,141.8833,8.77,61,88,2.73,JP,1670122917
265,aberystwyth,52.4155,-4.0829,4.28,83,87,3.92,GB,1670123005
266,chingola,-12.529,27.8838,16.87,86,100,1.08,ZM,1670123005
267,corn island,12.1694,-83.0418,27.53,74,0,8.01,NI,1670123005
268,dakar,14.6937,-17.4441,20.49,64,100,4.01,SN,1670122800
269,varzea da palma,-17.5981,-44.7308,19.11,90,93,0.51,BR,1670123005
270,asau,46.4333,26.4,-1.49,97,100,1.3,RO,1670123006
271,yar-sale,66.8333,70.8333,-2.83,89,100,5.88,RU,1670123006
272,boddam,57.4667,-1.7833,6.21,74,80,7.88,GB,1670123006
273,mehamn,71.0357,27.8492,-4.03,74,39,8.23,NO,1670123006
274,okitipupa,6.5047,4.7839,23.48,98,55,0.84,NG,1670123007
275,beloha,-25.1667,45.05,23.09,68,33,2.2,MG,1670123007
276,slave lake,55.2834,-114.769,-4.96,58,75,5.91,CA,1670123007
277,kampot,10.6167,104.1833,28.03,78,97,4.11,KH,1670123007
278,gornopravdinsk,60.05,69.9,-10.33,96,100,2.67,RU,1670123008
279,aswan,24.0934,32.907,16.64,41,70,2.7,EG,1670123008
280,tautira,-17.7333,-149.15,26.3,81,7,7.69,PF,1670122878
281,husavik,66.0449,-17.3389,-0.75,78,4,4.82,IS,1670123008
282,nanortalik,60.1432,-45.2371,-4.73,79,3,5.58,GL,1670123009
283,aklavik,68.2191,-135.0107,-11.56,79,74,10.1,CA,1670123009
284,linxia,35.6003,103.2064,-2.6,35,91,0.12,CN,1670123009
285,winslow,35.0242,-110.6974,10.1,87,40,3.09,US,1670123009
